[Lumi = 10.0 fb{-1}]

      MET>40.0, MT2ll>80.0                       DY                   SMS_T2tt_2J_mStop500_mLSP325                singletop                          tt+Jets                       S/sqrt(B) x 100          
********************************* ********************************* ********************************* ********************************* ********************************* ********************************* 
             Nominal                              0                                 0                                 0                               4518                               0.0                
********************************* ********************************* ********************************* ********************************* ********************************* ********************************* 
            nbjets>=0                          195.15                              0.0                               0.0                             5522.79                             0.0                
            nbjets>=1                            0.0                               0.0                               0.0                             4518.65                             0.0                
            nbjets>=2                            0.0                               0.0                               0.0                             1506.22                             0.0                
            nbjets>=3                            0.0                               0.0                               0.0                               0.0                               0.0                
            nbjets>=4                            0.0                               0.0                               0.0                               0.0                               0.0                
            nbjets>=5                            0.0                               0.0                               0.0                               0.0                               0.0                

            metsig>=3                            0.0                               0.0                               0.0                             5020.72                             0.0                
            metsig>=4                            0.0                               0.0                               0.0                             5020.72                             0.0                
            metsig>=5                            0.0                               0.0                               0.0                             5522.79                             0.0                
            metsig>=6                            0.0                               0.0                               0.0                             4016.58                             0.0                
            metsig>=7                            0.0                               0.0                               0.0                             3012.43                             0.0                
            metsig>=8                            0.0                               0.0                               0.0                             1506.22                             0.0                
            metsig>=9                            0.0                               0.0                               0.0                             502.07                              0.0                
           metsig>=10                            0.0                               0.0                               0.0                             502.07                              0.0                

             ht>=50                              0.0                               0.0                               0.0                             4518.65                             0.0                
             ht>=100                             0.0                               0.0                               0.0                             4518.65                             0.0                
             ht>=200                             0.0                               0.0                               0.0                             2008.29                             0.0                
             ht>=300                             0.0                               0.0                               0.0                             1004.14                             0.0                
             ht>=400                             0.0                               0.0                               0.0                             -502.07                             0.0                
             ht>=500                             0.0                               0.0                               0.0                               0.0                               0.0                

            njets>=1                             0.0                               0.0                              81.75                            6024.87                             0.0                
            njets>=2                             0.0                               0.0                               0.0                             4518.65                             0.0                
            njets>=3                             0.0                               0.0                               0.0                             3012.43                             0.0                
            njets>=4                             0.0                               0.0                               0.0                             2008.29                             0.0                
            njets>=5                             0.0                               0.0                               0.0                             502.07                              0.0                
            njets>=6                             0.0                               0.0                               0.0                             502.07                              0.0                
            njets>=7                             0.0                               0.0                               0.0                               0.0                               0.0                

